Wavelength;Reflectance;Sigma
972.00000;0.464374;0.02
973.00000;0.455955;0.02
974.00000;0.446193;0.02
975.00000;0.440851;0.02
976.00000;0.448768;0.02
977.00000;0.460776;0.02
978.00000;0.465394;0.02
979.00000;0.46848;0.02
980.00000;0.481733;0.02
981.00000;0.481116;0.02
982.00000;0.480516;0.02
983.00000;0.482254;0.02
984.00000;0.499206;0.02
985.00000;0.499842;0.02
986.00000;0.509013;0.02
987.00000;0.50726;0.02
988.00000;0.512619;0.02
989.00000;0.514912;0.02
990.00000;0.515589;0.02
991.00000;0.514956;0.02
992.00000;0.516333;0.02
993.00000;0.513665;0.02
994.00000;0.517642;0.02
995.00000;0.519918;0.02
996.00000;0.524183;0.02
997.00000;0.523057;0.02
998.00000;0.520664;0.02
999.00000;0.518044;0.02
1000.00000;0.522327;0.02
1001.00000;0.52021;0.02
1002.00000;0.511324;0.02
1003.00000;0.514768;0.02
1004.00000;0.520732;0.02
1005.00000;0.515827;0.02
1006.00000;0.513332;0.02
1007.00000;0.516966;0.02
1008.00000;0.512306;0.02
1009.00000;0.507269;0.02
1010.00000;0.509673;0.02
1011.00000;0.515815;0.02
1012.00000;0.518004;0.02
1013.00000;0.518915;0.02
1014.00000;0.522141;0.02
1015.00000;0.512145;0.02
1016.00000;0.519921;0.02
1017.00000;0.515518;0.02
1018.00000;0.518367;0.02
1019.00000;0.517813;0.02
1020.00000;0.520499;0.02
1021.00000;0.525009;0.02
1022.00000;0.522201;0.02
1023.00000;0.517645;0.02
1024.00000;0.518168;0.02
1025.00000;0.520519;0.02
1026.00000;0.523875;0.02
1027.00000;0.525768;0.02
1028.00000;0.526337;0.02
1029.00000;0.525502;0.02
1030.00000;0.523179;0.02
1031.00000;0.531358;0.02
1032.00000;0.526534;0.02
1033.00000;0.529778;0.02
1034.00000;0.52838;0.02
1035.00000;0.528403;0.02
1036.00000;0.528097;0.02
1037.00000;0.540373;0.02
1038.00000;0.537087;0.02
1039.00000;0.531326;0.02
1040.00000;0.528951;0.02
1041.00000;0.531587;0.02
1042.00000;0.531609;0.02
1043.00000;0.531776;0.02
1044.00000;0.530787;0.02
1045.00000;0.540352;0.02
1046.00000;0.533313;0.02
1047.00000;0.527003;0.02
1048.00000;0.527551;0.02
1049.00000;0.531429;0.02
1050.00000;0.530517;0.02
1051.00000;0.533798;0.02
1052.00000;0.531256;0.02
1053.00000;0.533808;0.02
1054.00000;0.532764;0.02
1055.00000;0.532957;0.02
1056.00000;0.532958;0.02
1057.00000;0.529913;0.02
1058.00000;0.527833;0.02
1059.00000;0.534146;0.02
1060.00000;0.528592;0.02
1061.00000;0.530102;0.02
1062.00000;0.526911;0.02
1063.00000;0.52754;0.02
1064.00000;0.529951;0.02
1065.00000;0.529106;0.02
1066.00000;0.530439;0.02
1067.00000;0.529131;0.02
1068.00000;0.522452;0.02
1069.00000;0.524651;0.02
1070.00000;0.529286;0.02
1071.00000;0.523644;0.02
1072.00000;0.526819;0.02
1073.00000;0.521643;0.02
1074.00000;0.528059;0.02
1075.00000;0.529866;0.02
1076.00000;0.533039;0.02
1077.00000;0.536506;0.02
1078.00000;0.53337;0.02
1079.00000;0.529911;0.02
1080.00000;0.531683;0.02
1081.00000;0.525292;0.02
1082.00000;0.529003;0.02
1083.00000;0.528704;0.02
1084.00000;0.519709;0.02
1085.00000;0.521553;0.02
1086.00000;0.521889;0.02
1087.00000;0.525617;0.02
1088.00000;0.524011;0.02
1089.00000;0.514546;0.02
1090.00000;0.514224;0.02
1091.00000;0.51545;0.02
1092.00000;0.506419;0.02
1093.00000;0.504471;0.02
1094.00000;0.495306;0.02
1095.00000;0.494067;0.02
1096.00000;0.498379;0.02
1097.00000;0.494819;0.02
1098.00000;0.468181;0.02
1099.00000;0.446476;0.02
1100.00000;0.448671;0.02
1101.00000;0.453009;0.02
1102.00000;0.452575;0.02
1103.00000;0.455968;0.02
1104.00000;0.451541;0.02
1105.00000;0.443175;0.02
