WAVELENGTH;SOLAR_IRRADIANCE
1.780000;173.830000
1.782500;172.780000
1.785000;171.730000
1.787500;170.700000
1.790000;169.670000
1.792500;168.620000
1.795000;167.570000
1.797500;167.590000
1.800000;167.600000
1.802500;167.760000
1.805000;167.930000
1.807500;167.090000
1.810000;166.260000
1.812500;165.420000
1.815000;164.580000
1.817500;163.750000
1.820000;162.920000
1.822500;162.080000
1.825000;161.250000
1.827500;160.410000
1.830000;159.580000
1.832500;158.740000
1.835000;157.910000
1.837500;157.070000
1.840000;156.240000
1.842500;155.400000
1.845000;154.570000
1.847500;153.730000
1.850000;152.900000
1.852500;152.060000
1.855000;151.230000
1.857500;150.390000
1.860000;149.560000
1.862500;148.720000
1.865000;147.890000
1.867500;147.060000
1.870000;146.230000
1.872500;145.390000
1.875000;144.550000
1.877500;143.710000
1.880000;142.880000
1.882500;142.050000
1.885000;141.220000
1.887500;140.380000
1.890000;139.540000
1.892500;138.700000
1.895000;137.860000
1.897500;137.990000
1.900000;138.110000
1.902500;138.360000
1.905000;138.600000
1.907500;137.940000
1.910000;137.290000
1.912500;136.640000
1.915000;136.000000
1.917500;135.350000
1.920000;134.710000
1.922500;134.050000
1.925000;133.390000
1.927500;132.740000
1.930000;132.090000
1.932500;131.450000
1.935000;130.810000
1.937500;130.150000
1.940000;129.490000
1.942500;128.840000
1.945000;128.200000
1.947500;127.550000
1.950000;126.900000
1.952500;126.250000
1.955000;125.600000
1.957500;124.940000
1.960000;124.290000
1.962500;123.640000
1.965000;123.000000
1.967500;122.350000
1.970000;121.700000
1.972500;121.050000
1.975000;120.400000
1.977500;119.740000
1.980000;119.090000
1.982500;118.450000
1.985000;117.810000
1.987500;117.150000
1.990000;116.500000
1.992500;115.850000
1.995000;115.190000
1.997500;115.250000
2.000000;115.310000
2.002500;115.460000
2.005000;115.620000
2.007500;115.110000
2.010000;114.600000
2.012500;114.090000
2.015000;113.580000
2.017500;113.060000
2.020000;112.540000
2.022500;112.030000
2.025000;111.530000
2.027500;111.010000
2.030000;110.500000
2.032500;109.990000
2.035000;109.470000
2.037500;108.950000
2.040000;108.440000
2.042500;107.930000
2.045000;107.420000
2.047500;106.920000
2.050000;106.420000
2.052500;105.890000
2.055000;105.370000
2.057500;104.850000
2.060000;104.340000
2.062500;103.830000
2.065000;103.330000
2.067500;102.810000
2.070000;102.290000
2.072500;101.790000
2.075000;101.290000
2.077500;100.770000
2.080000;100.250000
2.082500;99.740000
2.085000;99.220000
2.087500;98.710000
2.090000;98.200000
2.092500;97.690000
2.095000;97.180000
2.097500;97.120000
2.100000;97.070000
2.102500;97.090000
2.105000;97.110000
2.107500;96.680000
2.110000;96.260000
2.112500;95.840000
2.115000;95.420000
2.117500;94.990000
2.120000;94.560000
2.122500;94.140000
2.125000;93.720000
2.127500;93.310000
2.130000;92.890000
2.132500;92.460000
2.135000;92.030000
2.137500;91.610000
2.140000;91.190000
2.142500;90.760000
2.145000;90.340000
2.147500;89.920000
2.150000;89.490000
2.152500;89.070000
2.155000;88.660000
2.157500;88.240000
2.160000;87.810000
2.162500;87.390000
2.165000;86.970000
2.167500;86.550000
2.170000;86.120000
2.172500;85.690000
2.175000;85.260000
2.177500;84.850000
2.180000;84.430000
2.182500;84.010000
2.185000;83.590000
2.187500;83.170000
2.190000;82.750000
2.192500;82.320000
2.195000;81.890000
2.197500;81.890000
2.200000;81.890000
2.202500;81.950000
2.205000;82.020000
2.207500;81.680000
2.210000;81.350000
2.212500;81.000000
2.215000;80.650000
2.217500;80.320000
2.220000;79.990000
2.222500;79.640000
2.225000;79.300000
2.227500;78.960000
2.230000;78.610000
2.232500;78.270000
2.235000;77.940000
2.237500;77.600000
2.240000;77.260000
2.242500;76.910000
2.245000;76.570000
2.247500;76.240000
2.250000;75.900000
2.252500;75.560000
2.255000;75.220000
2.257500;74.880000
2.260000;74.540000
2.262500;74.200000
2.265000;73.860000
2.267500;73.520000
2.270000;73.180000
2.272500;72.840000
2.275000;72.500000
2.277500;72.160000
2.280000;71.820000
2.282500;71.480000
2.285000;71.140000
2.287500;70.800000
2.290000;70.470000
2.292500;70.130000
2.295000;69.790000
2.297500;69.760000
2.300000;69.730000
2.302500;69.760000
2.305000;69.800000
2.307500;69.520000
2.310000;69.240000
2.312500;68.960000
2.315000;68.680000
2.317500;68.410000
2.320000;68.140000
2.322500;67.850000
2.325000;67.570000
2.327500;67.290000
2.330000;67.020000
2.332500;66.750000
2.335000;66.480000
2.337500;66.190000
2.340000;65.900000
2.342500;65.630000
2.345000;65.360000
2.347500;65.080000
2.350000;64.800000
2.352500;64.530000
2.355000;64.250000
2.357500;63.970000
2.360000;63.690000
2.362500;63.410000
2.365000;63.140000
2.367500;62.850000
2.370000;62.570000
2.372500;62.300000
2.375000;62.030000
2.377500;61.750000
2.380000;61.470000
2.382500;61.190000
2.385000;60.920000
2.387500;60.640000
2.390000;60.360000
2.392500;60.080000
2.395000;59.810000
2.397500;59.800000
2.400000;59.800000
2.402500;59.820000
2.405000;59.850000
2.407500;59.630000
2.410000;59.400000
2.412500;59.170000
2.415000;58.950000
2.417500;58.730000
2.420000;58.500000
2.422500;58.280000
2.425000;58.060000
2.427500;57.830000
2.430000;57.600000
2.432500;57.370000
2.435000;57.150000
2.437500;56.930000
2.440000;56.700000
2.442500;56.480000
2.445000;56.260000
2.447500;56.030000
2.450000;55.790000
2.452500;55.570000
2.455000;55.360000
2.457500;55.130000
2.460000;54.900000
2.462500;54.660000
2.465000;54.430000
2.467500;54.220000
2.470000;54.000000
2.472500;53.770000
2.475000;53.550000
2.477500;53.320000
2.480000;53.090000
2.482500;52.870000
2.485000;52.650000
2.487500;52.430000
2.490000;52.200000
2.492500;51.970000
2.495000;51.750000
2.497500;51.720000
2.500000;51.680000
2.502500;51.670000
2.505000;51.670000
2.507500;51.480000
2.510000;51.300000
2.512500;51.110000
2.515000;50.920000
2.517500;50.730000
2.520000;50.550000
2.522500;50.370000
2.525000;50.180000
2.527500;49.980000
2.530000;49.790000
2.532500;49.610000
2.535000;49.430000
2.537500;49.230000
2.540000;49.040000
2.542500;48.850000
2.545000;48.670000
2.547500;48.480000
2.550000;48.300000
2.552500;48.120000
2.555000;47.930000
2.557500;47.730000
2.560000;47.540000
2.562500;47.360000
2.565000;47.180000
2.567500;46.980000
2.570000;46.790000
2.572500;46.600000
2.575000;46.420000
2.577500;46.240000
2.580000;46.060000
2.582500;45.870000
2.585000;45.670000
2.587500;45.480000
2.590000;45.300000
2.592500;45.120000
2.595000;44.930000
2.597500;44.870000
2.600000;44.820000
2.602500;44.800000
2.605000;44.790000
2.607500;44.620000
2.610000;44.450000
2.612500;44.290000
2.615000;44.140000
2.617500;43.980000
2.620000;43.830000
2.622500;43.660000
2.625000;43.490000
2.627500;43.340000
2.630000;43.180000
2.632500;43.020000
2.635000;42.860000
2.637500;42.700000
2.640000;42.550000
2.642500;42.380000
2.645000;42.210000
2.647500;42.060000
2.650000;41.900000
2.652500;41.740000
2.655000;41.580000
2.657500;41.420000
2.660000;41.260000
2.662500;41.100000
2.665000;40.940000
2.667500;40.780000
2.670000;40.620000
2.672500;40.460000
2.675000;40.310000
2.677500;40.140000
2.680000;39.970000
2.682500;39.810000
2.685000;39.660000
2.687500;39.500000
2.690000;39.340000
2.692500;39.180000
2.695000;39.030000
2.697500;38.990000
2.700000;38.960000
2.702500;38.940000
2.705000;38.920000
2.707500;38.790000
2.710000;38.660000
2.712500;38.520000
2.715000;38.380000
2.717500;38.250000
2.720000;38.120000
2.722500;37.990000
2.725000;37.860000
2.727500;37.720000
2.730000;37.580000
2.732500;37.440000
2.735000;37.300000
2.737500;37.170000
2.740000;37.050000
2.742500;36.910000
2.745000;36.770000
2.747500;36.640000
2.750000;36.500000
2.752500;36.360000
2.755000;36.230000
2.757500;36.090000
2.760000;35.960000
