DIMITRI_DATE;REGION;SENSOR;PROCESSING_VERSION;YEAR;MONTH;DAY;DOY;DECIMAL_YEAR;FILENAME;ROI_COVER;NUM_ROI_PX;AUTO_CS;MANUAL_CS;AUX_DATA_1;AUX_DATA_2;AUX_DATA_3;AUX_DATA_4;AUX_DATA_5;AUX_DATA_6;AUX_DATA_7;AUX_DATA_8;AUX_DATA_9;AUX_DATA_10
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;  23; 327;   2011.898000348561;MER_RR__1PRBCM20111123_182859_000000563109_00027_50903_0001.N1;  0;           -1.0;-1.000; -1;MER_RR__0PPLRA20111123_180336_000026283109_00027_50903_0058.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111125_062115_20111123_150000_20111124_030000;AUX_FRO_AXVPDS20111125_232646_20111122_221000_20111125_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;  25; 329;   2011.903529965608;MER_RR__1PRBCM20111125_185521_000000543109_00056_50932_0001.N1;  1;         2144.0; 0.018; -1;MER_RR__0PPLRA20111125_183028_000026283109_00056_50932_0769.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111127_062113_20111125_150000_20111126_030000;AUX_FRO_AXVPDS20111127_232115_20111124_221000_20111127_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;  28; 332;   2011.911730371720;MER_RR__1PRBCM20111128_184529_000000563109_00099_50975_0001.N1;  1;         2140.0; 0.000; -1;MER_RR__0PPLRA20111128_182039_000026273109_00099_50975_1758.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111130_062114_20111128_150000_20111129_030000;AUX_FRO_AXVPDS20111130_232333_20111127_221000_20111130_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  12;   1; 335;   2011.919930809031;MER_RR__1PRBCM20111201_183538_000000543109_00142_51018_0001.N1;  1;         2138.0; 0.718; -1;MER_RR__0PPLRA20111201_181049_000026263109_00142_51018_2780.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111203_062112_20111201_150000_20111202_030000;AUX_FRO_AXVPDS20111203_231921_20111130_221000_20111203_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  12;   3; 337;   2011.925460426078;MER_RR__1PRBCM20111203_190200_000000543109_00171_51047_0001.N1;  1;         2143.0; 0.033; -1;MER_RR__0PPLRA20111203_183739_000026253109_00171_51047_3488.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111205_061134_20111203_150000_20111204_030000;AUX_FRO_AXVPDS20111206_112114_20111202_221000_20111205_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  12;   6; 340;   2011.933660800291;MER_RR__1PRBCM20111206_185207_000000543109_00214_51090_0001.N1;  1;         2145.0; 0.742; -1;MER_RR__0PPLRA20111206_182746_000026243109_00214_51090_4430.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111208_062114_20111206_150000_20111207_030000;AUX_FRO_AXVPDS20111209_111733_20111205_221000_20111208_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  12;   9; 343;   2011.941861174505;MER_RR__1PRBCM20111209_184214_000000563109_00257_51133_0001.N1;  1;         2139.0; 0.779; -1;MER_RR__0PPLRA20111209_181752_000026243109_00257_51133_5399.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111211_062113_20111209_150000_20111210_030000;AUX_FRO_AXVPDS20111211_232115_20111208_221000_20111211_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  12;  20; 354;   2011.971992009188;MER_RR__1PRBCM20111220_183900_000000563109_00415_51291_0001.N1;  1;         2137.0; 0.068; -1;MER_RR__0PPLRA20111220_181450_000026193109_00415_51291_9356.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111222_062112_20111220_150000_20111221_030000;AUX_FRO_AXVPDS20111222_231609_20111219_221000_20111222_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  12;  22; 356;   2011.977521626002;MER_RR__1PRBCM20111222_190522_000000563110_00013_51320_0001.N1;  1;         2153.0; 0.517; -1;MER_RR__0PPLRA20111222_184135_000026183110_00013_51320_0142.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111224_062114_20111222_150000_20111223_030000;AUX_FRO_AXVPDS20111224_232054_20111221_221000_20111224_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  12;  28; 362;   2011.993922406094;MER_RR__1PRBCM20111228_184537_000000563110_00099_51406_0001.N1;  1;         2139.0; 0.001; -1;MER_RR__0PPLRA20111228_182133_000026163110_00099_51406_2122.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111230_062117_20111228_150000_20111229_030000;AUX_FRO_AXVPDS20111230_231829_20111227_221000_20111230_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
